name,rating,genres,tags
Disciples II: Rise of the Elves,4.48,Strategy,"Singleplayer, Multiplayer, Atmospheric, RPG, Co-op"
Disciples II: Gallean's Return,4.48,Strategy,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, RPG"
Half-Life 2,4.48,"Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric"
Tomba! 2: The Evil Swine Return,4.48,"Action, Platformer",Singleplayer
Uncharted 4: A Thief’s End,4.48,"Action, Shooter","Atmospheric, Action-Adventure, 3rd-Person Perspective"
Split Fiction,4.47,"Action, Adventure","Multiplayer, Steam Cloud, Co-op, Story Rich, cooperative"
Clair Obscur: Expedition 33,4.47,RPG,"Singleplayer, Steam Cloud, RPG, Story Rich, Third Person"
Hatsune Miku: Project DIVA Mega Mix+,4.47,"Action, Arcade","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Female Protagonist"
Marvel's Spider-Man Remastered,4.47,"Action, Adventure, Casual","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
The Great Ace Attorney Chronicles,4.47,Adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack"
It Takes Two,4.47,"Action, Adventure, Platformer","Steam Achievements, Multiplayer, Full controller support, Co-op, Story Rich"
Super Bomberman 4,4.47,"Action, Puzzle",
FINAL FANTASY XIV: Shadowbringers,4.47,"RPG, Massively Multiplayer",
ZONE OF THE ENDERS: The 2nd Runner - M∀RS,4.47,Action,"Singleplayer, Steam Achievements, Steam Cloud, Partial Controller Support, Violent"
Capcom vs. SNK: Millennium Fight 2000 Pro,4.47,Fighting,2 players
Dark Souls: Remastered,4.47,"Action, RPG","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric"
Elite Dangerous: Horizons,4.47,Simulation,
Mass Effect 3: Citadel,4.47,"Action, Shooter, RPG",
Scratches,4.47,Adventure,
Metal Gear Solid 2: Substance,4.47,"Action, Shooter","Singleplayer, Atmospheric, Exploration, Stealth, Action-Adventure"
The Legend of Zelda: Breath of the Wild,4.47,"Action, Adventure, RPG","RPG, Open World, Sandbox, Action-Adventure, exclusive"
The Dishwasher: Vampire Smile,4.47,"Action, Indie","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
Grand Theft Auto V,4.47,Action,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric"
METAL GEAR SOLID V: THE DEFINITIVE EXPERIENCE,4.47,Action,"Multiplayer, Stealth, Story, online, collection"
Uncharted: Legacy of Thieves Collection,4.46,"Action, Adventure","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Henry Stickmin Collection - Full Game,4.46,"Action, Adventure, Strategy","2D, animation, stickman"
Summer Memories,4.46,"Adventure, RPG","Singleplayer, RPG, Anime, Sexual Content, Time Management"
Monster Hunter World: Iceborne,4.46,"Action, RPG, Massively Multiplayer","Open World, Third Person, Anime, Hack and Slash, Dragons"
Лунтик X Fan Made,4.46,Platformer,2D
Need For Speed: Most Wanted,4.46,"Racing, Arcade","race, police, speed, car, racer"
Harvest Moon: Friends of Mineral Town,4.46,"RPG, Simulation",Singleplayer
Fear Effect 2: Retro Helix,4.46,"Action, Adventure, Puzzle","Singleplayer, exclusive"
Dark Souls III: Ashes of Ariandel,4.46,"Action, RPG",
The Last of Us: Left Behind,4.46,"Action, Shooter, Adventure",
World of Warcraft: Wrath of the Lich King,4.46,"RPG, Massively Multiplayer",
The Elder Scrolls 3: Tribunal,4.46,RPG,
Professor Layton and the Azran Legacy,4.46,Puzzle,"exclusive, true exclusive, puzzles"
Dragon Age: Origins Awakening,4.46,RPG,"Singleplayer, Atmospheric, RPG, Story Rich, Open World"
WipEout Pure,4.46,Racing,exclusive
Pursuit Force: Extreme Justice,4.46,"Action, Racing","exclusive, true exclusive"
Mass Effect 2,4.46,"Action, RPG","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich"
The Sly Collection,4.46,"Action, Adventure, Arcade","Exploration, Stealth, combat, online, friends"
Bug Princess,4.46,"Action, Arcade, Casual","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards"
XCOM: Enemy Within,4.46,"Action, Strategy, Simulation","Multiplayer, Story, battle, html"
Summertime Saga,4.45,Casual,"Nudity, NSFW, adult, Erotic"
Spooky Milk Life,4.45,"Action, Adventure, Casual, Indie","Singleplayer, RPG, 2D, Funny, Exploration"
That Level Again,4.45,"Casual, Indie, Puzzle, Platformer","Singleplayer, Steam Achievements, 2D, Dark, Linear"
Grown-Up Titans ( Teen Titans),4.45,,"Singleplayer, dc, milf, teen-titans, titans"
The Citadel,4.45,"Action, Casual, Indie","Singleplayer, Atmospheric, First-Person, Sci-fi, FPS"
Live A Live,4.45,"Adventure, RPG","Singleplayer, Steam Achievements, Steam Cloud, RPG, 2D"
Later Alligator,4.45,"Adventure, Indie",Singleplayer
Secret of Evermore,4.45,RPG,"Medieval, battle, Monsters, skill, Dog"
Marvel's Spider-Man,4.45,Action,"Singleplayer, Atmospheric, Open World, Exploration, Action-Adventure"
Super Monkey Ball,4.45,,"Singleplayer, Multiplayer"
FoxTail,4.45,"Adventure, Indie","Singleplayer, Steam Cloud, 2D, Female Protagonist, Pixel Graphics"
Ace Combat Zero: The Belkan War,4.45,Simulation,"exclusive, true exclusive, combat flight"
Xenon 2: Megablast,4.45,"Shooter, Arcade",
Warcraft 3: Reign of Chaos,4.45,Strategy,"exclusive, true exclusive"
Metroid Prime: Trilogy,4.45,"Action, Adventure","Story, collection"
Street Fighter II Turbo: Hyper Fighting,4.45,Fighting,"character, console, speed, fighter, NES"
Mario Kart 8 Deluxe,4.45,Racing,"Multiplayer, Funny, Family Friendly, exclusive, Cartoon"
Knights and Merchants: The Peasants Rebellion,4.45,Strategy,"Singleplayer, Multiplayer"
